Butterfly_ID	Species	Sex	EcloseMass	StdEcloseMass	10DayMass	MassChange10days	PropMassChange	WinterDestiny	WinterDestiny	Survival	Strategy	Daily_Mass_Loss	Prop_Mass_Loss
447	A_urticae	female	130.4	0.118055556	173	42.6	0.326687117	Alive	1	20	Diapause	-0.29	-0.001676301
448	A_urticae	male	152.2	0.622685185	218.6	66.4	0.436268068	Alive	1	20	Diapause	-0.17	-0.000777676
450	A_urticae	male	141.3	0.37037037	190.5	49.2	0.348195329	Alive	1	20	Diapause	-0.285	-0.001496063
451	A_urticae	male	133.6	0.19212963	206.3	72.7	0.544161677	Alive	1	20	Diapause	-0.355	-0.001720795
453	A_urticae	male	135.3	0.231481481	171.4	36.1	0.266814486	Alive	1	20	Diapause	-0.275	-0.001604434
456	A_urticae	male	129	0.085648148	200	71	0.550387597	Alive	1	20	Diapause	-0.38	-0.0019
501	A_io	male	204.1	0.387743076	138.1	-66	-0.323370897	Dead	0	6	Diapause	-5.3	-0.038377987
502	A_io	female	210.9	0.427813789	336.7	125.8	0.596491228	Alive	1	20	Diapause	-1.855	-0.005509356
503	A_io	male	218.1	0.470241603	193.5	-24.6	-0.112792297	Dead	0	17	Diapause	-4.188235294	-0.021644627
504	A_io	female	213.4	0.442545669	303.4	90	0.421743205	Alive	1	20	Diapause	-2.01	-0.006624918
505	A_io	male	238	0.587507366	134.7	-103.3	-0.434033613	Dead	0	7	Diapause	-5.114285714	-0.037967971
507	A_io	male	194.3	0.329994107	183.9	-10.4	-0.053525476	Dead	0	16	Diapause	-4.775	-0.025965198
508	A_io	female	218.5	0.472598704	218.6	0.1	0.000457666	Dead	0	20	Diapause	-3.135	-0.014341263
509	A_io	female	192.9	0.321744255	251.3	58.4	0.302747538	Alive	1	20	Diapause	-1.91	-0.007600478
510	A_io	female	230.5	0.543311727	284.8	54.3	0.235574837	Alive	1	20	Diapause	-3.4	-0.011938202
511	A_io	female	237.3	0.58338244	322.8	85.5	0.360303413	Alive	1	20	Diapause	-2.56	-0.007930607
512	A_io	female	274	0.799646435	376.9	102.9	0.375547445	Dead	0	20	Diapause	-3.13	-0.00830459
513	A_io	male	190.6	0.308190925	149.5	-41.1	-0.215634837	Dead	0	10	Diapause	-4.34	-0.0290301
515	A_io	female	258	0.705362404	364.9	106.9	0.414341085	Alive	1	20	Diapause	-2.76	-0.007563716
517	A_io	male	210.8	0.427224514	179.2	-31.6	-0.149905123	Dead	0	15	Diapause	-4.6	-0.025669643
518	A_io	female	230	0.540365351	196.9	-33.1	-0.143913043	Dead	0	20	Diapause	-3.095	-0.015718639
519	A_io	male	237.5	0.58456099	270.1	32.6	0.137263158	Alive	1	20	Diapause	-3.245	-0.012014069
520	A_io	female	187.9	0.292280495	262.8	74.9	0.398616285	Alive	1	20	Diapause	-4.255	-0.01619102
521	A_io	female	308	1	324.2	16.2	0.052597403	Alive	1	20	Diapause	-2.02	-0.006230722
522	A_io	female	282.3	0.848556276	320.8	38.5	0.136379738	Alive	1	20	Diapause	-1.15	-0.003584788
524	A_io	male	196.3	0.341779611	221.7	25.4	0.129393785	Dead	0	20	Diapause	-5.475	-0.024695535
525	A_io	female	298.4	0.943429582	302.9	4.5	0.015080429	Dead	0	20	Diapause	-4.67	-0.01541763
527	A_io	female	260	0.717147908	358.2	98.2	0.377692308	Alive	1	20	Diapause	-1.675	-0.004676159
528	A_io	female	156.9	0.109605186	231.1	74.2	0.472912683	Alive	1	20	Diapause	-2.165	-0.009368239
529	A_io	female	196.8	0.344725987	307.6	110.8	0.56300813	Alive	1	20	Diapause	-1.88	-0.006111834
530	A_io	male	182.4	0.259870359	264.2	81.8	0.448464912	Alive	1	20	Diapause	-1.7	-0.006434519
531	A_io	female	229.7	0.538597525	325.3	95.6	0.416195037	Alive	1	20	Diapause	-2.77	-0.008515217
532	A_io	female	218.8	0.474366529	304.3	85.5	0.390767824	Dead	0	20	Diapause	-3.95	-0.012980611
533	A_io	male	197.7	0.350029464	262	64.3	0.325240263	Alive	1	20	Diapause	-2.74	-0.010458015
538	A_io	female	245.1	0.629345905	334.7	89.6	0.365565075	Alive	1	20	Diapause	-1.83	-0.005467583
540	A_io	female	182.7	0.261638185	274.2	91.5	0.500821018	Alive	1	20	Diapause	-1.15	-0.004194019
561	A_io	male	164.9	0.156747201	161.7	-3.2	-0.0194057	Dead	0	20	Diapause	-3.555	-0.021985158
562	A_io	female	204.3	0.388921626	260.1	55.8	0.273127753	Alive	1	20	Diapause	-1.69	-0.006497501
563	A_io	male	138.3	0	186.9	48.6	0.351409978	Alive	1	20	Diapause	-1.825	-0.00976458
564	A_io	male	171.2	0.193871538	183.4	12.2	0.071261682	Alive	1	20	Diapause	-2.97	-0.016194111
565	A_io	female	208.5	0.413671184	254.9	46.4	0.222541966	Alive	1	20	Diapause	-2.685	-0.010533543
567	A_io	female	212.6	0.437831467	277.1	64.5	0.303386642	Alive	1	20	Diapause	-2.555	-0.009220498
568	A_io	female	191.9	0.315851503	200.7	8.8	0.045857217	Alive	1	20	Diapause	-2.55	-0.012705531
569	A_io	male	139.4	0.006482027	199.8	60.4	0.433285509	Alive	1	20	Diapause	-1.585	-0.007932933
570	A_io	male	159.8	0.126694166	222.6	62.8	0.392991239	Alive	1	20	Diapause	-2.545	-0.011433064
